method,label,image_file,train_mesh,eval_mesh,problem_type,load_mode,point_load_magnitude,volume_fraction,compliance_internal,compliance_feax,notes,architecture,settings
JAXTOuNN,jax_tounn_scale3,jax_tounn_density_scale3.png,180x90 (60x30 physical),180x90,plane_stress,equivalent_point_load,1.0,0.500048,68.2789,68.432419,"Parameter-matched JAXTOuNN large model with Fourier features; internal exported-resolution compliance from JAXTOuNN and FEAX VTU re-evaluation on the same 180x90 mesh","MLP numLayers=4 hiddenDim=54 fourier_numTerms=100 activation=swish useBatchNorm=False","paper-comparison large model outputDim=1 eval_scale=3 point_load=1.0 effective_params=16849"
JAXTOuNN,jax_tounn_scale15,jax_tounn_density_scale15_fourier64_match.png,180x90 (60x30 physical),900x450,plane_stress,equivalent_point_load,1.0,0.499749,72.9254,71.447164,"Parameter-matched JAXTOuNN large model with Fourier features; internal exported-resolution compliance from JAXTOuNN and FEAX VTU re-evaluation","MLP numLayers=4 hiddenDim=54 fourier_numTerms=100 activation=swish useBatchNorm=False","paper-comparison large model outputDim=1 eval_scale=15 point_load=1.0 effective_params=16849"
JAXTOuNN,jax_tounn_small_scale15,jax_tounn_small_scale15.png,180x90 (60x30 physical),900x450,plane_stress,equivalent_point_load,1.0,0.499784,70.2936,71.773066,"Smaller JAXTOuNN architecture; internal exported-resolution compliance from JAXTOuNN and FEAX VTU re-evaluation on the refined 900x450 mesh","MLP numLayers=3 hiddenDim=32","small-capacity variant outputDim=1 eval_scale=15 density_projection=True penal=3.0 point_load=1.0"
MMA,mma_scale3_projected,mma_scale3_projected.png,180x90 (60x30 physical),180x90,plane_stress,equivalent_point_load,1.0,0.500000,69.786010,,"Projected compliance and projected volume fraction from outputs/05-28_12-43-28_baseline; VTU re-evaluation unavailable because final.vtu does not contain a cell-data array named density","Density method on 180x90 node grid with Helmholtz filter and Heaviside projection","radius=0.5 heaviside_beta=10.0 heaviside_threshold=0.5 youngs_modulus=1.0 emin=1e-6 nu=0.3 penal=3.0 train_scale=3 eval_scale=3"
MMA,mma_scale15_projected,mma_scale15_projected.png,180x90 (60x30 physical),900x450,plane_stress,equivalent_point_load,1.0,0.500765,,71.355356,"Upscaled baseline density from outputs/05-28_12-43-28_baseline/baseline_final_with_without_filter.npz using interpolation, structured density-filter smoothing, and Heaviside projection; FEAX VTU re-evaluation on the refined 900x450 mesh","Density method transferred from the 180x90 node grid to a 900x450 evaluation mesh","source_array=rho_filtered upscale_script=topopt.upscale_vtu scale_factor=5 filter_radius=0.333333 fine_filter_radius_rx=5 fine_filter_radius_ry=5 heaviside_beta=30.0 heaviside_threshold=0.5 youngs_modulus=1.0 emin=1e-6 nu=0.3 penal=3.0 train_scale=3 eval_scale=15"
SIREN,siren_model_1_scale3,siren_model_1_scale3.png,180x90 (60x30 physical),180x90,plane_stress,equivalent_point_load,1.0,0.4977,,68.0147,"Compliance from FEAX model evaluation CSV for outputs/05-28_11-44-58_neural_field_train_simple-Tounn_omega_sweep_l5_h64/model_1 at eval_scale=3","SIREN num_hidden_layers=5 num_hidden_units=64 num_input_units=2 num_output_units=1","omega=20.0 target_density=0.5 penalty=0.001 heaviside_beta=10.0 heaviside_threshold=0.5 train_scale=3 eval_scale=3"
SIREN,siren_model_1_scale15,siren_model_1_scale15.png,180x90 (60x30 physical),900x450,plane_stress,equivalent_point_load,1.0,0.4952,,71.2921,"Compliance from FEAX model evaluation CSV for outputs/05-28_11-44-58_neural_field_train_simple-Tounn_omega_sweep_l5_h64/model_1","SIREN num_hidden_layers=5 num_hidden_units=64 num_input_units=2 num_output_units=1","omega=20.0 target_density=0.5 penalty=0.001 heaviside_beta=10.0 heaviside_threshold=0.5 train_scale=3 eval_scale=15"
SIREN,siren_small_model_1_scale3_unprojected,siren_small_model_1_scale3_unprojected.png,180x90 (60x30 physical),180x90,plane_stress,equivalent_point_load,1.0,0.500001,,86.512651,"Smaller SIREN architecture evaluated on the raw unprojected field; image and compliance correspond to the same unprojected density","SIREN num_hidden_layers=3 num_hidden_units=32 num_input_units=2 num_output_units=1","omega=18.0 target_density=0.5 penalty=0.002 heaviside_beta=0.0 train_scale=3 eval_scale=3"
SIREN,siren_small_model_1_scale15_unprojected,siren_small_model_1_scale15_unprojected.png,180x90 (60x30 physical),900x450,plane_stress,equivalent_point_load,1.0,0.498715,,90.536541,"Smaller SIREN architecture evaluated on the raw unprojected field; image and compliance correspond to the same unprojected density","SIREN num_hidden_layers=3 num_hidden_units=32 num_input_units=2 num_output_units=1","omega=18.0 target_density=0.5 penalty=0.002 heaviside_beta=0.0 train_scale=3 eval_scale=15"
